area,rooms,bathrooms,wilaya,municipality,property_type,floor,is_furnished,has_elevator,rent_type,amenities,price
160,4,3,Constantine,El Khroub,Apartment,2,1,0,monthly,"Wifi,Elevator,Security 24/7",142500
82,2,3,Oran,Bir El Djir,Apartment,2,0,0,monthly,"Wifi,Pool,Garden,Elevator",58000
79,2,2,Oran,Oran City,Apartment,4,0,1,monthly,"Wifi,Pool,Elevator",57000
388,5,1,Setif,Setif City,Villa,0,0,1,daily,"Parking,Heating,Security 24/7,Air Conditioning,Elevator",19200
77,5,3,Oran,Akid Lotfi,Apartment,4,1,0,monthly,Elevator,99500
112,4,1,Setif,Ain Arnat,Apartment,9,1,1,monthly,"Pool,Garden,Wifi,Heating,Elevator",92500
80,4,3,Constantine,El Khroub,Apartment,7,0,1,monthly,"Wifi,Pool,Elevator",56500
380,5,3,Setif,El Eulma,Villa,0,0,0,daily,Pool,15100
33,1,2,Constantine,Constantine City,Studio,1,0,0,monthly,"Air Conditioning,Parking,Security 24/7",15000
85,2,1,Oran,Es Senia,Apartment,9,0,1,monthly,"Parking,Elevator",57500
118,4,3,Algiers,El Biar,Apartment,1,1,1,monthly,"Air Conditioning,Heating,Elevator",174500
98,4,3,Setif,Ain Arnat,Apartment,7,0,0,monthly,Security 24/7,53500
72,2,2,Oran,Bir El Djir,Apartment,1,1,0,daily,"Pool,Wifi,Elevator,Air Conditioning,Garden",6200
124,3,2,Algiers,Sidi M'Hamed,Apartment,0,0,1,monthly,"Pool,Elevator",110000
118,3,1,Algiers,El Biar,Apartment,4,1,0,monthly,"Parking,Pool,Garden",141000
157,2,1,Setif,Setif City,Apartment,9,0,1,monthly,"Parking,Wifi,Elevator",71000
94,3,2,Setif,Ain Arnat,Apartment,1,1,1,monthly,"Pool,Parking,Security 24/7,Air Conditioning,Elevator",78000
88,2,3,Algiers,Zeralda,Apartment,2,1,1,monthly,"Air Conditioning,Elevator,Security 24/7",119500
96,5,1,Constantine,Constantine City,Apartment,4,1,1,monthly,"Pool,Parking,Wifi,Heating,Security 24/7,Elevator",99000
118,4,1,Setif,El Eulma,Apartment,8,0,0,daily,"Wifi,Garden,Air Conditioning,Heating",5000
339,6,1,Algiers,Sidi M'Hamed,Villa,0,0,0,monthly,"Pool,Wifi,Elevator,Security 24/7,Garden",359000
94,5,1,Oran,Bir El Djir,Apartment,5,0,0,monthly,"Garden,Heating",72000
398,4,3,M'Sila,Magra,Villa,0,1,0,monthly,"Parking,Wifi",225500
70,2,1,M'Sila,M'Sila City,Apartment,5,0,1,daily,"Pool,Elevator",2400
61,4,2,Constantine,El Khroub,Apartment,3,1,0,monthly,"Pool,Garden",71500
41,1,2,M'Sila,Magra,Studio,0,1,0,monthly,"Garden,Pool,Heating",17500
137,4,2,M'Sila,Boussaada,Apartment,0,1,1,daily,"Pool,Parking,Wifi,Elevator,Security 24/7,Garden",4500
33,1,3,Setif,El Eulma,Studio,0,0,1,monthly,"Air Conditioning,Heating,Elevator",15000
91,3,2,M'Sila,Magra,Apartment,0,0,0,monthly,"Parking,Wifi",35000
126,4,3,M'Sila,Magra,Apartment,5,0,0,monthly,Elevator,46000
117,3,3,Setif,Ain Arnat,Apartment,9,0,0,daily,"Security 24/7,Air Conditioning,Garden,Elevator",5200
48,1,2,M'Sila,Magra,Studio,2,0,1,monthly,"Air Conditioning,Pool",15000
138,2,3,Setif,Setif City,Apartment,6,0,1,monthly,"Wifi,Garden,Air Conditioning,Elevator",63500
159,3,2,M'Sila,M'Sila City,Apartment,1,1,0,monthly,"Wifi,Security 24/7",83500
153,4,3,Algiers,Sidi M'Hamed,Apartment,9,0,1,monthly,"Parking,Heating,Elevator,Air Conditioning,Garden",134000
148,2,3,M'Sila,Boussaada,Apartment,1,1,0,monthly,Air Conditioning,73000
152,3,3,Setif,Setif City,Apartment,8,0,1,monthly,"Air Conditioning,Elevator",76000
223,7,3,M'Sila,M'Sila City,Villa,0,1,1,monthly,"Wifi,Pool,Garden,Security 24/7",176000
94,3,2,M'Sila,Boussaada,Apartment,4,1,0,monthly,"Elevator,Pool,Wifi,Security 24/7",49000
51,1,3,Algiers,Hydra,Studio,2,0,1,monthly,"Garden,Air Conditioning,Wifi,Elevator",35000
155,3,3,Constantine,Constantine City,Apartment,4,1,0,monthly,"Parking,Garden",113500
468,4,2,M'Sila,Magra,Villa,0,0,1,monthly,"Pool,Parking,Security 24/7,Air Conditioning,Elevator",173500
40,1,1,Algiers,Zeralda,Studio,0,0,0,daily,"Parking,Garden,Elevator",3100
148,2,1,Algiers,Zeralda,Apartment,0,0,0,monthly,"Pool,Wifi,Security 24/7,Air Conditioning,Garden",116000
131,3,1,M'Sila,Boussaada,Apartment,9,1,0,monthly,"Pool,Elevator",64000
102,5,3,Constantine,Constantine City,Apartment,6,1,1,monthly,"Pool,Parking,Wifi,Air Conditioning,Elevator",111000
110,4,2,M'Sila,Boussaada,Apartment,3,1,1,daily,"Pool,Wifi,Elevator,Air Conditioning,Garden",3700
148,3,2,Oran,Es Senia,Apartment,6,1,1,monthly,"Parking,Heating,Security 24/7,Air Conditioning,Elevator",146000
106,4,1,Algiers,Hydra,Apartment,6,1,0,monthly,Parking,141500
78,5,3,Setif,Setif City,Apartment,6,1,1,daily,"Parking,Elevator",7900
94,5,3,Algiers,Hydra,Apartment,6,0,1,monthly,"Parking,Elevator",112500
162,5,3,Constantine,Constantine City,Apartment,2,1,1,monthly,"Air Conditioning,Elevator",147000
127,2,3,Algiers,Hydra,Apartment,0,1,1,monthly,"Pool,Parking,Wifi,Heating,Elevator",155000
157,4,3,M'Sila,Boussaada,Apartment,3,0,1,monthly,"Air Conditioning,Wifi,Elevator",60000
75,5,2,Algiers,Hydra,Apartment,7,1,1,daily,"Pool,Heating,Security 24/7,Air Conditioning,Elevator",13600
157,2,1,Algiers,Zeralda,Apartment,3,0,1,monthly,"Pool,Parking,Elevator,Security 24/7,Garden",123500
127,3,1,Setif,Ain Arnat,Apartment,6,0,1,monthly,"Pool,Wifi,Heating,Security 24/7,Elevator",65500
186,7,2,Oran,Akid Lotfi,Villa,0,1,0,daily,"Heating,Pool,Wifi",30100
41,1,2,Constantine,Ali Mendjeli,Studio,0,1,1,daily,"Pool,Heating,Elevator,Security 24/7,Garden",3900
152,4,3,Constantine,Ali Mendjeli,Apartment,1,1,0,monthly,"Pool,Parking,Garden",136000
146,4,1,Constantine,Ali Mendjeli,Apartment,8,0,0,monthly,"Heating,Air Conditioning,Elevator,Security 24/7",74000
30,1,2,Oran,Bir El Djir,Studio,2,0,1,monthly,"Pool,Parking,Wifi,Air Conditioning,Elevator",21500
98,2,2,Constantine,Ali Mendjeli,Apartment,0,0,1,daily,"Air Conditioning,Elevator",2800
141,5,1,M'Sila,M'Sila City,Apartment,2,0,1,daily,"Pool,Parking,Elevator,Security 24/7,Garden",4600
156,3,1,Algiers,El Biar,Apartment,1,0,1,daily,"Elevator,Security 24/7",11800
60,2,3,Constantine,El Khroub,Apartment,2,0,1,monthly,"Wifi,Elevator",38000
117,2,3,Setif,Setif City,Apartment,4,1,1,monthly,"Air Conditioning,Parking,Heating,Elevator",83500
348,4,1,M'Sila,M'Sila City,Villa,0,0,1,monthly,"Pool,Wifi",138000
76,5,3,M'Sila,Boussaada,Apartment,1,0,0,monthly,"Heating,Elevator",42000
91,3,2,Algiers,Bab Ezzouar,Apartment,6,1,1,monthly,Elevator,129000
201,7,1,Setif,Setif City,Villa,0,0,1,monthly,"Wifi,Pool,Heating,Security 24/7",158000
78,4,1,Algiers,Bab Ezzouar,Apartment,6,0,0,monthly,"Parking,Wifi,Heating,Security 24/7,Elevator",77000
189,8,1,Setif,El Eulma,Villa,0,1,0,monthly,"Heating,Elevator,Security 24/7,Air Conditioning,Garden",240500
134,5,2,Algiers,Zeralda,Apartment,2,1,1,daily,"Wifi,Elevator",21800
163,4,1,Oran,Oran City,Apartment,4,0,1,monthly,"Elevator,Air Conditioning,Garden,Security 24/7",115000
83,3,2,Oran,Bir El Djir,Apartment,1,1,1,monthly,"Pool,Parking,Heating,Air Conditioning,Elevator",94500
107,2,1,Constantine,Constantine City,Apartment,3,0,0,daily,"Parking,Air Conditioning,Heating,Security 24/7",3600
74,3,3,M'Sila,M'Sila City,Apartment,6,0,1,monthly,"Pool,Elevator,Security 24/7,Air Conditioning,Garden",31000
46,1,1,Constantine,Ali Mendjeli,Studio,4,0,0,monthly,"Pool,Wifi,Security 24/7,Air Conditioning,Elevator",22000
94,2,1,Oran,Oran City,Apartment,7,1,1,monthly,"Air Conditioning,Elevator",93500
89,3,2,Constantine,Ali Mendjeli,Apartment,6,0,1,monthly,"Pool,Elevator",54000
92,4,2,Setif,Setif City,Apartment,6,0,0,monthly,"Pool,Wifi",44500
62,4,2,Constantine,Ali Mendjeli,Apartment,9,0,0,daily,Air Conditioning,2900
76,3,2,Setif,El Eulma,Apartment,5,0,1,monthly,Elevator,49500
147,4,2,Setif,El Eulma,Apartment,7,0,0,monthly,Wifi,66500
73,4,1,Constantine,Ali Mendjeli,Apartment,8,0,1,monthly,"Heating,Elevator",55500
82,2,2,M'Sila,Boussaada,Apartment,1,0,0,daily,Security 24/7,2500
61,4,1,Oran,Oran City,Apartment,2,0,0,monthly,"Air Conditioning,Heating",58000
153,3,3,M'Sila,M'Sila City,Apartment,5,1,0,daily,"Security 24/7,Wifi,Elevator,Heating,Garden",6200
79,3,2,Algiers,Zeralda,Apartment,9,0,0,monthly,"Air Conditioning,Elevator,Security 24/7",70500
106,5,3,M'Sila,Boussaada,Apartment,8,0,1,monthly,"Elevator,Security 24/7",48500
134,2,1,Algiers,Hydra,Apartment,6,1,1,monthly,"Pool,Elevator",163500
106,4,1,Oran,Bir El Djir,Apartment,5,1,1,monthly,"Parking,Air Conditioning,Elevator",124000
34,1,2,M'Sila,Boussaada,Studio,0,1,0,daily,Wifi,2000
78,3,1,M'Sila,Magra,Apartment,3,0,1,monthly,"Parking,Elevator",33500
454,7,1,Algiers,Zeralda,Villa,0,0,1,monthly,"Pool,Elevator,Security 24/7,Air Conditioning,Garden",445000
153,2,3,Constantine,El Khroub,Apartment,3,0,1,monthly,"Elevator,Security 24/7",79500
107,5,2,Oran,Oran City,Apartment,4,0,0,monthly,"Pool,Parking,Security 24/7,Air Conditioning,Elevator",81000
99,5,3,Algiers,Bab Ezzouar,Apartment,5,0,0,monthly,"Air Conditioning,Pool,Parking,Wifi",98000
104,4,2,M'Sila,Boussaada,Apartment,5,0,1,monthly,"Air Conditioning,Heating,Elevator",41500
65,3,1,Algiers,Sidi M'Hamed,Apartment,7,0,1,monthly,"Air Conditioning,Elevator,Security 24/7",68500
98,2,3,Setif,Ain Arnat,Apartment,4,0,1,daily,"Air Conditioning,Elevator",3200
78,4,2,Algiers,El Biar,Apartment,0,0,0,monthly,"Pool,Wifi,Security 24/7,Air Conditioning,Elevator",92500
106,4,3,Algiers,Bab Ezzouar,Apartment,0,1,1,monthly,"Pool,Heating,Elevator",163000
74,2,2,M'Sila,Magra,Apartment,6,0,0,daily,"Air Conditioning,Heating",2200
75,3,1,Constantine,El Khroub,Apartment,7,1,0,daily,"Parking,Elevator,Security 24/7",6600
87,2,3,Algiers,Zeralda,Apartment,5,1,1,monthly,"Pool,Parking,Heating,Wifi,Elevator",113000
202,6,1,M'Sila,Magra,Villa,0,0,1,monthly,"Air Conditioning,Heating,Elevator",110000
226,7,1,M'Sila,Boussaada,Villa,0,0,1,monthly,"Parking,Air Conditioning,Heating",121500
90,5,2,M'Sila,Magra,Apartment,0,0,0,monthly,"Pool,Wifi,Security 24/7",47000
118,2,1,Setif,Setif City,Apartment,4,0,0,monthly,"Wifi,Air Conditioning,Pool,Garden",48000
155,5,2,Setif,El Eulma,Apartment,5,0,0,daily,"Air Conditioning,Wifi",5000
105,4,1,Constantine,El Khroub,Apartment,4,1,0,monthly,"Pool,Parking,Wifi,Security 24/7,Garden",88000
83,3,3,M'Sila,M'Sila City,Apartment,2,0,0,monthly,"Air Conditioning,Pool,Elevator,Security 24/7",34500
71,3,3,Oran,Bir El Djir,Apartment,4,1,0,monthly,"Garden,Pool,Heating,Elevator",76500
50,1,2,M'Sila,M'Sila City,Studio,1,0,0,monthly,Air Conditioning,15000
151,4,2,Setif,Setif City,Apartment,3,1,0,daily,"Parking,Air Conditioning,Heating",6500
102,4,2,Oran,Akid Lotfi,Apartment,5,0,1,monthly,"Pool,Heating,Wifi,Security 24/7,Elevator",83500
163,4,2,Setif,Ain Arnat,Apartment,6,0,1,daily,"Parking,Elevator,Security 24/7",6700
119,2,2,Setif,El Eulma,Apartment,1,0,0,monthly,"Parking,Garden,Elevator",57000
93,4,1,Oran,Akid Lotfi,Apartment,2,1,1,monthly,"Parking,Elevator,Security 24/7,Air Conditioning,Garden",113500
145,4,2,Setif,El Eulma,Apartment,0,1,1,monthly,"Wifi,Elevator",114000
89,4,1,M'Sila,Magra,Apartment,3,0,0,monthly,"Pool,Security 24/7",38000
155,3,1,Algiers,Bab Ezzouar,Apartment,5,1,1,monthly,"Air Conditioning,Elevator",202500
68,4,1,Setif,Ain Arnat,Apartment,1,0,1,daily,"Pool,Garden,Parking,Security 24/7,Elevator",5900
82,2,2,Algiers,Sidi M'Hamed,Apartment,4,1,0,monthly,Air Conditioning,96000
96,3,3,Constantine,Constantine City,Apartment,0,0,1,monthly,"Wifi,Garden,Heating,Elevator",62000
210,5,1,Constantine,Ali Mendjeli,Villa,0,0,0,monthly,"Air Conditioning,Heating,Elevator",167500
77,4,1,Algiers,Hydra,Apartment,5,1,0,monthly,Air Conditioning,116000
225,8,3,Constantine,Ali Mendjeli,Villa,0,0,1,monthly,"Garden,Heating",198000
88,4,2,Algiers,Zeralda,Apartment,8,1,1,daily,"Heating,Elevator",10700
155,5,1,Algiers,Bab Ezzouar,Apartment,4,0,0,monthly,"Air Conditioning,Security 24/7",130000
28,1,3,Setif,El Eulma,Studio,0,0,0,monthly,"Pool,Parking,Elevator",15000
32,1,2,M'Sila,M'Sila City,Studio,3,0,0,daily,Heating,1500
136,2,1,Oran,Bir El Djir,Apartment,7,1,0,monthly,Air Conditioning,111000
47,1,1,Oran,Bir El Djir,Studio,3,0,1,monthly,Parking,24000
45,1,3,Constantine,Ali Mendjeli,Studio,1,0,0,monthly,"Garden,Air Conditioning,Heating",18000
43,1,2,Algiers,Hydra,Studio,2,1,0,monthly,"Parking,Pool,Garden,Security 24/7",48000
464,6,3,Oran,Bir El Djir,Villa,0,0,0,monthly,"Wifi,Elevator",337000
263,5,3,Algiers,El Biar,Villa,0,1,1,monthly,"Garden,Pool,Elevator,Security 24/7",447500
270,8,1,Oran,Akid Lotfi,Villa,0,0,0,monthly,"Pool,Garden",257000
153,4,1,Algiers,Zeralda,Apartment,2,1,0,monthly,"Garden,Elevator",210500
117,3,1,Oran,Oran City,Apartment,3,0,1,monthly,"Parking,Heating,Elevator,Security 24/7,Garden",82500
80,4,3,Constantine,Ali Mendjeli,Apartment,9,1,0,monthly,"Wifi,Parking,Elevator,Security 24/7",78500
152,5,3,M'Sila,Magra,Apartment,8,0,1,monthly,"Elevator,Security 24/7",59500
203,5,3,Constantine,Ali Mendjeli,Villa,0,1,1,monthly,Air Conditioning,249000
119,3,3,Constantine,El Khroub,Apartment,5,0,1,daily,"Air Conditioning,Pool,Wifi,Elevator",5000
109,3,1,Algiers,Zeralda,Apartment,4,1,0,daily,"Wifi,Garden,Elevator",9900
68,2,3,Oran,Oran City,Apartment,9,0,0,monthly,Air Conditioning,39000
283,6,1,Algiers,El Biar,Villa,0,1,0,daily,"Parking,Heating,Elevator,Air Conditioning,Garden",59000
44,1,3,M'Sila,Boussaada,Studio,3,1,0,daily,"Elevator,Pool,Heating,Security 24/7",1500
426,7,1,Oran,Akid Lotfi,Villa,0,0,0,monthly,"Air Conditioning,Heating,Elevator",319500
123,3,3,Setif,Ain Arnat,Apartment,2,1,1,monthly,"Air Conditioning,Parking,Elevator",94000
45,1,1,Oran,Akid Lotfi,Studio,3,1,1,daily,"Pool,Parking,Wifi,Security 24/7,Air Conditioning",3000
118,2,1,M'Sila,Boussaada,Apartment,1,0,0,monthly,"Air Conditioning,Pool,Garden,Security 24/7",38500
121,2,1,Oran,Oran City,Apartment,9,0,1,daily,"Elevator,Security 24/7",6200
94,5,3,Setif,Ain Arnat,Apartment,1,0,1,monthly,"Wifi,Air Conditioning,Garden,Elevator",61000
126,3,1,Oran,Es Senia,Apartment,9,0,1,monthly,"Elevator,Security 24/7",87000
118,3,1,Oran,Oran City,Apartment,2,1,0,monthly,Air Conditioning,124500
105,3,3,Setif,Ain Arnat,Apartment,5,1,0,daily,"Air Conditioning,Pool",6800
85,4,3,M'Sila,Magra,Apartment,7,0,0,monthly,"Parking,Air Conditioning,Elevator,Security 24/7",30000
107,3,3,Algiers,Hydra,Apartment,7,0,1,monthly,"Heating,Pool,Garden,Elevator",102000
498,8,1,Oran,Bir El Djir,Villa,0,1,0,daily,Air Conditioning,53400
437,8,3,Constantine,Ali Mendjeli,Villa,0,1,0,monthly,"Wifi,Garden,Heating,Elevator",425000
365,4,1,Oran,Akid Lotfi,Villa,0,0,1,monthly,"Garden,Air Conditioning,Heating,Security 24/7",270000
133,5,3,Constantine,Ali Mendjeli,Apartment,4,1,0,monthly,"Wifi,Heating,Security 24/7,Air Conditioning,Garden",114500
111,5,2,Algiers,Zeralda,Apartment,8,1,1,monthly,"Garden,Elevator",180000
64,3,3,Constantine,Constantine City,Apartment,6,1,0,monthly,"Parking,Air Conditioning,Elevator",56500
76,4,2,M'Sila,Boussaada,Apartment,7,1,0,monthly,Heating,47000
93,2,1,Oran,Es Senia,Apartment,9,1,1,monthly,"Air Conditioning,Wifi,Elevator",97500
133,5,3,Algiers,Hydra,Apartment,9,0,1,monthly,"Garden,Elevator",138000
108,4,1,Algiers,Zeralda,Apartment,6,1,0,monthly,"Pool,Parking,Heating,Air Conditioning,Elevator",139000
75,2,3,Constantine,El Khroub,Apartment,5,1,1,monthly,"Pool,Elevator",66500
70,2,3,Oran,Oran City,Apartment,8,1,0,monthly,"Air Conditioning,Heating",69500
125,2,3,M'Sila,Magra,Apartment,5,0,1,monthly,"Heating,Air Conditioning,Wifi,Elevator",40000
435,4,2,Setif,Setif City,Villa,0,0,0,monthly,"Garden,Pool,Elevator,Security 24/7",230500
140,4,3,Constantine,El Khroub,Apartment,4,0,1,monthly,Elevator,83000
424,5,2,Setif,El Eulma,Villa,0,0,0,monthly,"Pool,Parking,Heating,Wifi,Air Conditioning",233000
139,2,3,M'Sila,Boussaada,Apartment,9,1,1,monthly,"Heating,Elevator",63500
87,2,3,Constantine,El Khroub,Apartment,9,0,0,monthly,"Garden,Parking,Wifi,Elevator",38000
92,5,3,M'Sila,M'Sila City,Apartment,7,0,0,daily,"Pool,Garden,Wifi,Heating,Elevator",2200
361,8,3,Constantine,El Khroub,Villa,0,0,1,daily,"Parking,Wifi,Security 24/7,Air Conditioning,Garden",28700
38,1,3,Constantine,Ali Mendjeli,Studio,2,1,1,monthly,"Parking,Wifi,Heating,Air Conditioning,Garden",24000
69,4,3,Setif,El Eulma,Apartment,8,0,0,daily,"Pool,Garden",5100
118,2,2,Oran,Es Senia,Apartment,2,0,1,monthly,"Pool,Parking,Heating,Air Conditioning,Elevator",77500
39,1,1,Oran,Es Senia,Studio,4,0,0,monthly,Parking,21500
140,2,1,M'Sila,M'Sila City,Apartment,1,0,1,monthly,"Pool,Heating,Wifi,Air Conditioning,Elevator",40500
95,3,3,Oran,Oran City,Apartment,9,1,1,monthly,"Wifi,Pool,Elevator",100000
42,1,3,Setif,Setif City,Studio,2,1,1,monthly,Security 24/7,26000
46,1,3,M'Sila,M'Sila City,Studio,2,1,0,daily,"Wifi,Heating,Elevator",1500
115,4,2,Algiers,Hydra,Apartment,7,0,1,daily,"Pool,Wifi,Security 24/7,Air Conditioning,Elevator",8200
371,5,3,Setif,El Eulma,Villa,0,0,1,monthly,"Pool,Air Conditioning,Elevator",208000
157,2,2,Algiers,Zeralda,Apartment,5,1,1,monthly,Elevator,187000
122,5,1,Constantine,Constantine City,Apartment,5,1,0,monthly,Security 24/7,108500
136,2,3,Algiers,El Biar,Apartment,9,1,1,daily,"Heating,Air Conditioning,Elevator",13100
97,5,3,Oran,Akid Lotfi,Apartment,6,0,0,daily,"Air Conditioning,Heating",8700
144,3,1,M'Sila,M'Sila City,Apartment,3,0,1,monthly,"Garden,Elevator",52500
150,2,1,Constantine,Constantine City,Apartment,6,0,1,monthly,"Wifi,Parking,Garden,Elevator",80500
89,4,3,Oran,Oran City,Apartment,1,0,1,daily,"Garden,Security 24/7,Heating,Elevator",6600
36,1,1,M'Sila,Magra,Studio,0,1,0,monthly,"Elevator,Security 24/7",15000
369,6,3,M'Sila,Boussaada,Villa,0,1,0,monthly,"Parking,Elevator",226500
147,2,2,Algiers,Bab Ezzouar,Apartment,4,1,0,monthly,"Garden,Heating,Security 24/7",155000
127,3,3,Oran,Oran City,Apartment,9,1,1,monthly,"Pool,Heating,Wifi,Elevator,Garden",132500
28,1,3,Algiers,El Biar,Studio,3,0,1,monthly,"Air Conditioning,Pool",26500
